OTU	Domain	Phylum	Class	Order	Family	Genus	Species
4aa8f6c50374e152687b666e521a41e3	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_fissicatena_group	Eubacterium_fissicatena_group_species
2ca41dc6c262207904a90e806f90bd64	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	s__Serratia_Species
9cc4861d7d3167987d4cea7e90f10e1e	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	s__Flavonifractor_Species
f5ee7f505a5533b43427db3af2c0a785	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
f2d7d67c87611815b8f14a3d00465fa4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
0b19092f16fb4da2c1b8cf0bffdf361e	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Anaerotruncus	Anaerotruncus_sp000403395
e79580d205e0618d3d2efef95ab58420	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	s__Limosilactobacillus_Species
2c34d503307a7a1ed415b342a7732ffc	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_genus	Ruminococcaceae_species
1126ae5fcaf50879181bc55ebcab40bf	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	14-2_sp000403315
8eac2788bdda172ca0da12088eb99e5d	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
1d9f5af8d29267b7a5544b73d1858f5e	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	CAG-95_sp000403495
470e6f9df1f76f28c67e05126c97b1ef	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Cellulomonadaceae	Cellulosimicrobium	s__Cellulosimicrobium_Species
66df1f7911b3dda5a94076e67f5fa0ae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
f51c0e7ccfc51c89c28a979729742e85	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1_sp000403215
b95d6b71342860e9bbb2e0f58a28f0e1	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_genus	Ruminococcaceae_species
f9493baea4fa0b0217ca4003d08befa1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
6041896647d19f64cc788b8d3052027d	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculaceae_genus	Muribaculaceae_species
830b881c200fa6cb257156f2b53e662a	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae_genus	Ruminococcaceae_species
e44de18e62abc0d85d7b7cfbc327f2d8	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	COE1	COE1_sp000403215
a6bb49c31ee8c87ebbf931735d485979	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	s__Muribaculum_Species
ad3f48741be00285c00ecb30a0971be6	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	g__Lachnospiraceae_Genus	s__Lachnospiraceae_Species
1b660e2fd0c377e2bd982f6af629198c	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11	s__TF01-11_Species
9dc7590102314eea9f5f2df5c5da3536	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	g__Oscillospiraceae_Genus	s__Oscillospiraceae_Species
930db954e7518ba2539ddfc007de7770	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	s__Limosilactobacillus_Species
dbddaaffa191123cfc51c74652eda798	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	g__Lachnospiraceae_Genus	s__Lachnospiraceae_Species
cd0a4d136fe37e3ef0590e07cf9448e3	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	Colidextribacter_species
